ville,historic,building,amenity,tourism,name,name:ar,lat,lon,surface_m2
Tunis,castle,yes,,,حصن حلق الوادي,حصن حلق الوادي,36.814461574248774,10.30361231441209,8485.262018216925
Tunis,yes,mosque,place_of_worship,,جامع القيروان الكبير,جامع القيروان الكبير,35.68152782652255,10.10400557798134,6373.458075577308
Tunis,,yes,place_of_worship,,الجامع الكبير,الجامع الكبير,35.503859534048274,11.072057804495271,2778.3992061255185
Tunis,,mosque,place_of_worship,,الجامع الكبير بسوسة,الجامع الكبير بسوسة,35.826830818884815,10.639745672519869,2097.122197778635
Tunis,archaeological_site,ruins,,,Uthina Amphitheatre,,36.60862105699365,10.169238279138835,6560.16358739995
Tunis,,yes,place_of_worship,,,,36.71608623257662,10.726326919288343,2260.685875170759
Tunis,castle,public,,,الوزارة الأولى,الوزارة الأولى,36.797513285571945,10.169210095008555,5456.487279217636
Tunis,castle,yes,,,برج علي الرايس,,36.780612236988155,10.18569238599348,2674.105136770832
Tunis,castle,yes,,museum,دار بن عبد الله,دار بن عبد الله,36.793999707685074,10.173813042782553,435.7461418399315
Tunis,yes,mosque,place_of_worship,,جامع الزيتونة,جامع الزيتونة,36.79728856492504,10.171313599502884,3248.055949901429
Tunis,,yes,,museum,دار معقل الزعيم,دار معقل الزعيم,36.79365132126072,10.164383085492666,817.7269710666792
Tunis,monument,yes,public_building,,Centre National d'Art de la Calligraphie Arabe,,36.807404902794694,10.16627721647521,610.2817793118102
Tunis,,yes,place_of_worship,,مسجد العمران,مسجد العمران,36.81698245743843,10.160341003439077,1429.3230852744891
Tunis,,yes,place_of_worship,,جامع المعز,جامع المعز,36.83677259436372,10.178689813267782,1186.8277746874023
Tunis,monument,,place_of_worship,,مقام أبي زمعة البلوي,مقام أبي زمعة البلوي,35.68211162524238,10.090329411635842,2940.703974349323
Tunis,,mosque,,,,,36.860102884271996,10.16364904500379,972.9975129645446
Tunis,ruins,,,,Rotonde de Damous el Karita,,36.86083515882811,10.330031136883203,92.2001482114795
Tunis,,yes,,museum,المتحف الوطني العسكري بقصر الوردة,المتحف الوطني العسكري بقصر الوردة,36.81132321270344,10.098501471254153,1896.4920574655048
Tunis,castle,yes,,,,,37.16909446051991,10.191673680283285,1289.9844813211366
Tunis,castle,yes,,,حصن السجن القديم,حصن السجن القديم,37.16957148565034,10.194414984821464,2286.0160032385934
Tunis,castle,yes,,,البرج,البرج,37.167614804736715,10.179457250552336,1296.3088337900886
Tunis,,yes,,museum,المتحف الوطني بباردو,المتحف الوطني بباردو,36.80935380138232,10.134229874880846,7195.7523050324435
Tunis,,yes,place_of_worship,,,,36.834344097420846,10.167738872718255,1621.4850108545656
Tunis,building,yes,,,Hotel Marhala,,33.87755994948323,10.85950607212336,864.4436360652012
Tunis,building,yes,,,Fondouk Jomni,,33.87766296522606,10.85907868962285,831.917483218027
Tunis,building,yes,,,Auberge de la Jeunesse,,33.87730712474272,10.859462255637,525.7283084057635
Tunis,archaeological_site,,,,قصر غيلان,قصر غيلان,33.008636204103084,9.616212437012683,566.1039073805122
Tunis,castle,yes,,,قصر الحلوف,قصر الحلوف,33.29125433171539,10.157294445811493,3873.1594877434545
Tunis,ruins,,,attraction,قصر الزهرة,قصر الزهرة,32.81702405979213,10.565857265740059,3680.8237214105084
Tunis,building,yes,,,Ksar Ouled Mohammed,,32.89791012032101,10.52523314263104,1733.2762997778666
Tunis,ruins,yes,,attraction,قصر أولاد سلطان,قصر أولاد سلطان,32.78840181829609,10.514864358070506,1847.3041847514833
Tunis,,yes,place_of_worship,,,,36.3512886493303,9.622522168161144,1363.1700366862833
Tunis,castle,yes,,,Petit Fort,,36.18146000127669,8.711906949030352,1200.1522083209522
Tunis,castle,yes,,,الحصن الكبير,الحصن الكبير,36.18207993857028,8.712807829794343,3054.7256595657996
Tunis,ruins,,,,بازيليكا,بازيليكا,36.181680285120926,8.7133470561325,721.9162734151537
Tunis,,,place_of_worship,,,,36.18160128200246,8.708031519500105,1266.2922504132464
Tunis,ruins,,,,مسجد سيدي بو مخلوف,مسجد سيدي بو مخلوف,36.18195518560544,8.713888463186098,376.38744656851355
Tunis,,mosque,place_of_worship,,Mosquée Omar Ibn Khattab,,36.711500234500534,10.373425110753253,651.5475389116962
Tunis,,mosque,place_of_worship,,مسجد الرحمة,مسجد الرحمة,36.7062390457567,10.40892227720424,1380.2136716825876
Tunis,,yes,place_of_worship,,جامع أبو بكر الصديق,جامع أبو بكر الصديق,36.81476842527157,10.30262383626735,1464.9907505942167
Tunis,ruins,yes,,,Ksar Lemsa,,36.03592686552031,9.691955708541695,368.2921868883908
Tunis,archaeological_site,,,,بولا ريجيا,بولا ريجيا,36.55964597830792,8.754804211487546,384827.4198924306
Tunis,ruins,,,,Arc de triomphe,,36.5576321458062,8.753046125179127,42.0842116541156
Tunis,ruins,,,,,,36.558159845541745,8.756339822695045,5151.446893339483
